Plan name;Individual;Business;Enterprise
Price;$19 / Month;$29 / Month;Contact UsContact Us For Volume Pricing
Users;1;1 - 20;20 - *
Files;256;*;*
Storage In addition to our built in storage we can use supported 3rd party storage providers;5GB;13GB;Contact UsContact Us For Volume Discounts
Min File Size This is the minimum individual file size you can create, convert or manipulate using GroupDocs under this plan;2MB;5MB;Up to 50MB
Views;*;*;*
Annotation;*;*;*
Signatures;100;*;*
Conversions;22;*;*
Assemblies;100;*;*
Comparisons;100;*;*
Sharing Sharing let's you give documents for viewing to users outside your organisation;20;*;*
Embedding Embedding lets you embed documents on your website or via one of our Plugins;*;50;*
API calls Our API let's you integrate GroupDocs with your other systems or make use of our Plugins for Wordpress, Dropbox, etc.;100;100;*
Document Watermarking;*;*;*
3rd Party Storage Provider;;*;*
Use Plugins;*;*;*
Your Private Storage Integrate with your Companies Private Storage;*;*;*
Real-time Annotation / Presentation Mode;*;*;*
Custom Branding Options;*;Basic;Complete Control
Custom URL;;;
